X,Y,Screen X,Screen Y
-10,0,399,506
-20,0,344,506
-30,0,296,506
-40,0,242,506
-50,0,189,506
-60,0,138,506
-70,0,88,506
0,-10,450,560
0,-20,450,613
0,-30,450,661
0,-40,450,713
0,-50,450,769
0,-60,450,817
0,-70,450,870
0,0,450,506
0,10,450,456
0,20,450,406
0,30,450,351
0,40,450,300
0,50,450,250
0,60,450,200
0,70,450,145
10,0,500,506
20,0,555,506
30,0,605,506
40,0,658,506
50,0,710,506
60,0,760,506
70,0,810,506
